"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Whit Merrifield","KCR","55","252","231","62","14","1","4","31","21","16","37","2","10","3","",".268",".319",".389",".707",".310","99","","0.9","-0.4","","0.8","-1.0","0.8","11281"
"Nathaniel Lowe","TEX","54","226","199","52","9","1","8","26","28","23","55","1","2","1","",".260",".338",".441",".779",".339","123","","-0.4","-0.7","","5.4","-4.8","0.8","19566"
"Andrew Vaughn","CHW","55","235","211","55","12","0","8","29","29","18","43","3","1","0","",".263",".328",".442",".769",".335","120","","-0.5","-0.8","","4.8","-4.4","0.8","26197"
"Mark Canha","NYM","48","202","171","40","8","1","6","23","21","22","42","6","2","1","",".237",".342",".387",".729",".326","116","","-0.2","-0.9","","3.5","-2.7","0.8","11445"
"Josh Bell","WSN","55","236","205","53","10","1","9","30","32","27","41","2","0","0","",".260",".350",".458",".808",".349","124","","-1.0","-1.8","","5.5","-5.9","0.8","13145"
"Jesse Winker","SEA","48","211","180","45","9","0","6","26","23","25","37","3","0","0","",".252",".350",".413",".762",".337","125","","-1.0","-1.5","","4.9","-3.9","0.8","13590"
"Nolan Gorman","STL","41","173","157","38","7","0","8","21","23","12","47","1","1","0","",".244",".301",".444",".746",".322","111","","-0.1","0.0","","2.1","-0.4","0.8","22263"
"Max Stassi","LAA","38","155","136","29","5","1","5","16","16","15","45","2","0","0","",".215",".297",".367",".664",".295","90","","-0.4","-1.0","","-2.2","1.6","0.8","10059"
"Rowdy Tellez","MIL","48","207","183","46","10","0","10","26","30","19","43","3","0","0","",".249",".327",".475",".801",".341","118","","-0.6","0.1","","3.8","-3.3","0.8","15679"
"Cody Bellinger","LAD","52","205","182","40","8","1","8","24","26","19","51","1","5","1","",".221",".298",".412",".710",".308","100","","0.3","-0.6","","0.4","0.2","0.8","15998"
"Patrick Wisdom","CHC","51","212","187","39","8","0","11","25","28","21","74","2","3","1","",".210",".295",".423",".718",".312","99","","-0.2","0.4","","-0.4","0.7","0.8","13602"
"Alec Bohm","PHI","48","203","186","50","9","1","5","22","23","14","43","1","1","1","",".269",".323",".407",".731",".319","103","","-0.2","-0.4","","0.7","-0.1","0.8","21618"
"Teoscar Hernández","TOR","53","226","206","52","11","0","11","29","33","16","60","2","4","2","",".252",".309",".465",".774",".333","114","","0.1","-0.8","","3.6","-3.3","0.8","13066"
"Aaron Hicks","NYY","46","191","160","36","6","1","5","22","20","27","42","2","4","1","",".227",".342",".379",".722",".321","109","","0.3","-0.5","","2.3","-0.8","0.8","5297"
"Eloy Jiménez","CHW","46","192","176","46","8","0","10","24","28","12","46","1","0","0","",".260",".310",".477",".787",".339","122","","-0.1","-0.6","","4.8","-3.4","0.8","17484"
"Christopher Morel","CHC","49","203","181","43","8","2","7","25","23","16","56","2","6","2","",".235",".302",".416",".718",".313","99","","0.4","-0.4","","0.2","0.3","0.8","21897"
"Omar Narváez","MIL","36","142","125","30","5","0","3","15","15","14","28","2","0","0","",".242",".324",".372",".696",".308","96","","-0.4","-0.6","","-1.1","1.8","0.8","13338"
"Tommy Pham","CIN","55","240","208","52","10","1","8","28","28","28","57","2","5","2","",".248",".338",".410",".747",".329","106","","0.6","-0.4","","2.3","-3.1","0.8","2967"
"Adolis García","TEX","55","236","218","50","10","1","10","26","31","13","70","2","6","2","",".230",".278",".424",".702",".303","97","","0.0","1.8","","-0.7","0.7","0.8","19287"
"Justin Turner","LAD","48","201","177","46","9","0","6","24","25","19","34","3","1","0","",".261",".342",".419",".761",".334","118","","-0.6","-1.2","","3.6","-3.1","0.8","5235"
"Brandon Crawford","SFG","43","175","156","38","8","1","5","19","20","15","35","2","2","1","",".244",".317",".396",".713",".311","102","","-0.3","-0.6","","0.2","1.2","0.8","5343"
"Ryan McMahon","COL","50","204","179","43","9","1","7","23","24","21","54","2","2","1","",".243",".325",".418",".743",".325","96","","0.0","0.8","","-1.1","1.5","0.8","15112"
"Javier Báez","DET","52","226","210","50","11","1","8","25","28","11","62","3","4","2","",".240",".284",".421",".705",".305","97","","0.4","-1.8","","-0.2","0.3","0.8","12979"
"Wilmer Flores","SFG","41","180","161","42","9","0","6","22","23","15","26","2","0","0","",".262",".329",".440",".769",".334","118","","-0.7","-1.0","","3.2","-2.2","0.7","5827"
"Brandon Drury","CIN","50","224","203","50","11","1","9","28","27","16","50","2","1","1","",".247",".306",".437",".743",".322","102","","-0.4","-0.2","","0.1","-0.6","0.7","11615"
"Brandon Belt","SFG","43","184","158","37","7","1","7","23","23","23","47","2","1","0","",".234",".336",".429",".765",".334","118","","-0.5","0.3","","3.5","-2.7","0.7","10264"
"Isiah Kiner-Falefa","NYY","51","208","190","50","10","1","2","21","19","11","29","3","7","3","",".265",".314",".356",".670",".295","91","","0.5","-0.3","","-1.5","1.9","0.7","16512"
"Keibert Ruiz","WSN","35","143","129","33","7","0","4","16","17","11","16","2","1","1","",".259",".321",".416",".737",".322","105","","-0.2","0.1","","0.7","2.5","0.7","19610"
"Christian Bethancourt","TBR","29","121","111","27","6","0","4","13","15","7","28","1","1","1","",".245",".295",".415",".710",".309","106","","-0.2","0.1","","0.6","2.4","0.7","10028"
"Jeimer Candelario","DET","47","196","174","42","10","1","6","21","22","18","43","2","0","0","",".242",".319",".409",".728",".319","107","","-0.1","-1.3","","1.5","-0.8","0.7","13621"
