"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Ramón Urías","BAL","42","171","153","38","8","0","5","18","19","13","40","2","1","0","",".246",".314",".407",".722",".316","103","","-0.2","0.4","","0.5","1.0","0.7","18795"
"Kevin Newman","PIT","49","219","201","53","11","1","3","23","18","13","25","2","4","1","",".263",".310",".367",".677",".298","91","","0.1","0.1","","-2.2","1.6","0.7","17696"
"Luis Rengifo","LAA","48","198","179","44","8","2","5","21","21","15","36","2","4","2","",".247",".308",".390",".698",".306","98","","0.2","0.1","","-0.3","0.9","0.7","19858"
"Jean Segura","PHI","35","151","137","38","7","1","3","18","16","10","22","2","3","1","",".277",".330",".409",".739",".323","106","","0.3","-0.2","","1.3","0.3","0.7","5933"
"Jurickson Profar","SDP","48","214","185","44","9","1","5","26","21","23","33","3","4","1","",".237",".328",".387",".715",".317","107","","0.2","-0.3","","1.9","-2.5","0.7","10815"
"Jared Walsh","LAA","53","226","204","50","11","1","10","27","31","18","61","2","1","0","",".245",".310",".451",".761",".327","113","","-0.5","0.6","","2.7","-3.1","0.7","18607"
"Thairo Estrada","SFG","37","149","136","36","7","1","4","16","17","9","25","2","4","2","",".262",".316",".413",".729",".318","107","","0.2","-0.6","","1.4","0.1","0.7","16426"
"Kris Bryant","COL","46","205","180","47","11","1","7","26","26","20","43","3","2","1","",".263",".345",".453",".798",".348","110","","0.3","-0.4","","2.9","-3.3","0.7","15429"
"Ji-Man Choi","TBR","45","193","164","38","9","0","6","23","22","26","51","2","0","0","",".232",".342",".402",".744",".328","119","","-0.4","0.0","","3.8","-3.3","0.7","5452"
"Mitch Haniger","SEA","40","178","158","38","7","1","8","23","22","15","44","2","1","0","",".242",".315",".444",".759",".328","119","","-0.4","-0.6","","3.4","-2.5","0.7","14274"
"Max Kepler","MIN","38","162","140","32","7","1","6","20","20","18","28","2","2","1","",".231",".324",".420",".744",".326","113","","0.0","0.6","","2.4","-1.0","0.7","12144"
"Leody Taveras","TEX","49","198","180","42","9","1","5","21","20","15","50","1","7","2","",".234",".294",".379",".673",".295","91","","0.5","1.1","","-1.4","1.6","0.7","18900"
"Josh Donaldson","NYY","41","175","151","35","7","0","7","22","22","20","43","2","1","0","",".231",".326",".420",".746",".328","114","","-0.6","-0.6","","2.2","-1.3","0.7","5038"
"Hunter Renfroe","MIL","51","209","190","45","9","0","12","26","31","15","53","1","1","0","",".236",".296",".472",".768",".330","111","","-0.6","-0.4","","2.1","-2.8","0.7","15464"
"Joc Pederson","SFG","42","182","161","38","8","1","8","23","24","16","41","3","2","1","",".237",".315",".445",".760",".328","114","","-0.1","-1.0","","2.9","-2.8","0.7","11899"
"Tony Kemp","OAK","45","194","169","41","9","1","3","21","16","19","28","3","3","1","",".244",".328",".356",".684",".306","103","","0.1","-0.1","","0.7","-0.4","0.7","14894"
"Jordan Luplow","ARI","40","171","147","33","7","0","7","22","20","20","44","2","3","1","",".222",".320",".425",".744",".325","107","","-0.1","0.3","","1.3","-0.8","0.7","16424"
"JJ Bleday","MIA","35","149","129","27","6","0","5","16","17","17","40","1","1","0","",".210",".305",".382",".687",".304","99","","-0.1","0.9","","-0.3","1.5","0.7","26368"
"Jesús Sánchez","MIA","40","162","147","35","6","2","7","18","21","12","42","1","1","0","",".236",".298",".434",".733",".317","107","","-0.4","-0.6","","1.0","-0.3","0.7","19913"
"Michael A. Taylor","KCR","49","193","175","42","8","1","4","20","20","15","50","2","3","1","",".242",".303",".377",".680",".299","92","","0.2","1.1","","-1.6","1.7","0.6","11489"
"Bryce Harper","PHI","21","94","79","21","5","0","5","14","14","14","20","1","2","1","",".270",".382",".519",".901",".384","147","","-0.2","0.0","","5.0","-2.1","0.6","11579"
"Brendan Donovan","STL","35","147","127","33","7","0","2","17","14","15","26","3","2","1","",".260",".350",".377",".727",".324","112","","-0.3","0.0","","1.8","-0.6","0.6","24679"
"Nicky Lopez","KCR","46","182","164","42","7","1","1","18","15","14","25","2","5","1","",".257",".320",".341",".661",".295","89","","0.5","1.3","","-1.8","2.2","0.6","19339"
"Anthony Santander","BAL","52","229","209","52","11","0","10","27","31","16","46","3","1","0","",".250",".309",".449",".758",".327","112","","-0.2","-1.3","","2.8","-3.9","0.6","14551"
"Enrique Hernández","BOS","33","148","132","31","8","0","4","18","15","13","27","2","1","0","",".238",".312",".406",".719",".315","100","","0.1","0.7","","0.2","1.2","0.6","10472"
"Luis Guillorme","NYM","37","145","125","32","6","0","2","15","13","17","22","1","1","0","",".259",".349",".350",".699",".313","107","","-0.3","-0.2","","1.0","0.2","0.6","16451"
"J.D. Martinez","BOS","53","234","209","56","14","0","9","29","32","21","54","2","0","0","",".267",".336",".461",".797",".344","121","","-0.9","-0.1","","4.5","-5.8","0.6","6184"
"Ryan Mountcastle","BAL","53","228","209","53","11","0","10","27","31","15","57","2","2","1","",".254",".306",".453",".758",".327","111","","-0.1","0.3","","2.8","-4.0","0.6","18373"
"Ha-Seong Kim","SDP","29","117","104","25","5","1","3","13","12","10","22","1","2","1","",".242",".313",".384",".697",".307","100","","0.0","0.9","","0.0","2.0","0.6","27506"
"Gio Urshela","MIN","48","197","181","46","10","1","5","21","22","12","38","1","0","0","",".254",".303",".399",".703",".307","99","","-0.7","0.0","","-0.9","0.6","0.6","10681"
"Eugenio Suárez","SEA","50","212","185","39","7","0","9","23","26","22","64","3","0","0","",".208",".299",".389",".688",".304","102","","-0.8","-0.2","","-0.4","-0.4","0.6","12552"
"Josh H. Smith","TEX","44","186","161","39","8","1","3","21","16","18","38","4","5","2","",".240",".328",".362",".690",".309","101","","0.1","-0.5","","0.3","-0.4","0.6","26396"
"Avisaíl García","MIA","49","208","190","48","8","0","7","22","25","12","52","3","2","1","",".251",".304",".400",".705",".307","101","","-0.2","1.1","","0.0","-1.2","0.6","5760"
"Austin Slater","SFG","27","119","103","25","5","1","3","15","12","13","31","2","3","1","",".245",".338",".392",".730",".323","111","","0.3","-0.1","","1.8","-0.1","0.6","16153"
"Tyrone Taylor","MIL","48","190","172","40","8","1","8","22","24","12","44","3","2","1","",".234",".294",".425",".719",".312","98","","0.0","0.1","","-0.3","-0.4","0.6","13675"
"Jose Miranda","MIN","33","134","124","34","8","0","5","16","18","7","22","2","1","0","",".272",".320",".459",".779",".336","120","","-0.1","0.0","","2.9","-1.4","0.6","20538"
"Elvis Andrus","OAK","45","182","166","41","9","0","3","17","17","12","28","1","4","1","",".244",".298",".355",".653",".288","90","","0.6","-0.5","","-1.4","1.3","0.6","8709"
"Santiago Espinal","TOR","49","197","178","47","10","0","3","22","20","15","30","1","3","1","",".264",".322",".381",".703",".309","97","","0.1","-0.9","","-0.5","-0.1","0.6","19997"
"Christian Vázquez","BOS","37","150","138","36","8","0","3","16","16","9","26","1","2","1","",".259",".307",".388",".695",".305","93","","-0.8","0.5","","-2.0","2.7","0.6","9774"
"Kyle Farmer","CIN","48","197","179","45","10","0","5","20","21","11","36","5","2","1","",".251",".309",".387",".696",".306","90","","-0.3","-0.7","","-2.5","1.4","0.6","14813"
"José Iglesias","COL","48","202","189","53","12","1","3","22","21","8","26","2","2","1","",".283",".319",".399",".718",".314","88","","-0.1","-0.5","","-3.0","1.6","0.6","10231"
"Nolan Jones","CLE","37","149","127","30","7","0","5","17","17","19","44","1","2","1","",".235",".336",".405",".741",".326","113","","-0.1","0.3","","2.0","-1.1","0.6","20529"
"David Peralta","TBR","43","184","166","41","9","1","5","20","21","15","40","1","1","0","",".249",".314",".409",".723",".313","109","","-0.2","0.0","","1.7","-2.0","0.6","2136"
"Michael Brantley","HOU","36","162","145","41","8","1","3","21","17","13","19","1","1","0","",".281",".346",".416",".762",".333","120","","-0.3","-0.2","","3.4","-3.1","0.6","4106"
"Adam Frazier","SEA","46","197","177","46","9","1","3","20","17","14","24","2","3","1","",".259",".320",".360",".680",".301","100","","0.1","-0.6","","0.0","-0.8","0.6","15223"
"Trey Mancini","BAL","54","240","213","54","11","1","8","29","27","21","52","4","0","0","",".253",".328",".416",".743",".325","110","","-0.4","0.2","","2.2","-4.5","0.6","15149"
"Seth Brown","OAK","50","209","191","44","10","1","9","24","27","14","55","2","3","1","",".231",".289",".440",".729",".314","108","","-0.1","-0.2","","1.7","-3.0","0.6","18171"
"Jon Berti","MIA","30","132","114","27","5","1","2","15","11","14","29","2","9","2","",".241",".331",".351",".682",".307","100","","1.1","-0.5","","1.1","-0.3","0.6","12037"
"Nick Senzel","CIN","48","194","176","44","10","1","4","20","20","14","37","2","4","2","",".252",".312",".389",".701",".308","92","","-0.1","-0.1","","-1.8","0.5","0.6","19293"
"Didi Gregorius","PHI","44","176","160","38","7","2","5","19","20","11","27","2","1","0","",".239",".294",".393",".688",".300","90","","0.0","-0.6","","-2.0","1.2","0.5","6012"
"C.J. Cron","COL","53","227","203","51","10","1","11","29","34","19","56","4","0","0","",".254",".326",".474",".800",".344","108","","-0.7","0.1","","1.5","-4.1","0.5","12546"
"Garrett Cooper","MIA","41","180","159","41","8","1","5","21","20","16","46","3","0","0","",".258",".333",".415",".748",".328","115","","-0.7","0.0","","2.5","-3.4","0.5","15279"
"Carlos Santana","SEA","49","207","175","39","7","0","7","24","24","29","34","1","0","0","",".224",".336",".386",".722",".320","113","","-0.4","0.0","","2.7","-4.1","0.5","2396"
"David Fletcher","LAA","50","213","196","52","10","1","2","22","17","13","21","1","4","1","",".265",".312",".355",".667",".294","90","","0.2","-0.6","","-2.3","0.7","0.5","17992"
"Odúbel Herrera","PHI","43","175","160","41","9","1","5","20","19","11","32","2","3","1","",".257",".307",".412",".720",".314","100","","0.0","-1.0","","-0.1","-0.8","0.5","11476"
"Jake McCarthy","ARI","42","171","153","38","8","2","4","19","19","14","41","2","7","2","",".246",".313",".404",".717",".314","99","","0.5","0.3","","0.3","-1.1","0.5","21622"
"César Hernández","WSN","47","212","189","47","9","1","3","24","18","17","40","2","2","1","",".249",".317",".357",".674",".300","90","","-0.1","-0.3","","-2.6","0.4","0.5","10556"
"Ozzie Albies","ATL","23","99","91","23","5","0","3","12","12","6","17","1","3","1","",".256",".308",".439",".747",".323","105","","0.4","0.4","","1.0","0.7","0.5","16556"
"Jazz Chisholm Jr.","MIA","23","101","90","21","4","1","4","13","12","8","27","1","5","2","",".237",".303",".444",".748",".324","112","","0.3","-0.4","","1.7","-0.1","0.5","20454"
"Austin Barnes","LAD","20","78","68","15","3","0","2","9","8","8","17","1","1","0","",".223",".313",".360",".673",".300","95","","-0.1","-0.2","","-0.6","0.9","0.5","12158"
"Salvador Perez","KCR","47","203","190","46","9","0","11","24","30","8","52","3","0","0","",".241",".282",".458",".740",".316","104","","-0.6","0.9","","0.2","1.3","0.5","7304"
"LaMonte Wade Jr.","SFG","37","156","133","31","6","1","5","18","16","19","32","2","2","1","",".235",".338",".398",".736",".324","111","","-0.2","-0.5","","1.9","-2.2","0.5","18126"
"Jake Meyers","HOU","42","164","148","34","7","1","5","18","18","12","45","2","2","1","",".232",".294",".384",".679",".298","95","","0.0","0.0","","-0.9","0.7","0.5","20308"
"Brian Anderson","MIA","35","144","126","30","6","0","4","15","15","13","38","3","1","0","",".235",".319",".380",".698",".308","102","","-0.1","-0.3","","0.2","-0.2","0.5","18289"
"Jorge Soler","MIA","37","163","143","32","7","0","8","20","21","17","44","2","1","0","",".227",".315",".434",".749",".326","114","","-0.5","-0.8","","2.2","-2.9","0.5","14221"
"Jesús Aguilar","MIA","51","224","201","50","10","0","8","26","27","18","47","2","0","0","",".249",".315",".422",".737",".321","110","","-0.8","-0.3","","1.9","-4.7","0.5","11342"
"Jonathan Schoop","DET","49","205","190","48","9","1","6","21","23","10","42","2","1","1","",".250",".292",".400",".692",".301","95","","-0.1","-1.0","","-1.3","-0.4","0.5","11265"
"Ben Gamel","PIT","46","196","170","40","9","1","4","20","19","21","51","2","3","1","",".237",".327",".364",".691",".308","98","","0.0","0.6","","-0.4","-1.4","0.5","12160"
"Nick Madrigal","CHC","32","129","118","33","6","1","1","14","12","8","14","2","2","1","",".281",".330",".378",".708",".312","99","","-0.1","0.2","","-0.3","0.7","0.5","20521"
"Matt Vierling","PHI","35","135","121","31","6","1","3","16","14","11","28","1","4","1","",".253",".318",".398",".716",".314","100","","0.2","0.0","","0.2","0.0","0.5","21558"
"Luis García","WSN","44","179","168","44","8","1","5","19","21","8","33","1","2","1","",".263",".300",".420",".720",".311","97","","-0.2","-2.6","","-0.8","-0.6","0.5","20391"
"Eduardo Escobar","NYM","40","164","150","34","7","1","6","17","20","12","37","1","1","0","",".230",".286",".401",".688",".299","97","","-0.2","-0.6","","-0.7","-0.3","0.5","6153"
"Oscar Gonzalez","CLE","29","119","112","30","6","0","5","14","16","5","24","1","0","0","",".270",".303",".459",".762",".327","113","","0.0","0.5","","1.7","-0.8","0.5","20970"
"Lourdes Gurriel Jr.","TOR","48","197","181","49","11","0","6","23","25","12","37","2","2","1","",".271",".320",".438",".758",".328","110","","-0.5","-0.9","","1.9","-3.4","0.5","19238"
"Evan Longoria","SFG","30","129","115","28","6","0","5","15","16","11","31","1","0","0","",".240",".311",".412",".723",".315","105","","-0.2","-0.1","","0.5","-0.3","0.5","9368"
"Jacob Stallings","MIA","35","133","119","28","6","0","2","13","12","11","30","1","0","0","",".232",".302",".339",".641",".286","86","","-0.4","0.0","","-2.5","2.2","0.5","13723"
"Luis González","SFG","41","174","154","38","9","1","4","20","18","16","37","2","5","2","",".246",".323",".395",".719",".316","106","","-0.1","-0.9","","1.1","-2.5","0.5","20332"
"Nick Pratto","KCR","40","161","138","30","6","1","6","18","19","18","50","2","2","1","",".220",".319",".424",".743",".325","110","","-0.1","0.4","","1.7","-2.2","0.5","22117"
"Kyle Isbel","KCR","39","157","142","35","7","2","4","17","17","11","36","2","5","2","",".245",".305",".392",".697",".305","96","","0.0","0.8","","-0.8","0.3","0.5","21614"
"Geraldo Perdomo","ARI","49","189","163","37","6","2","2","19","16","21","40","2","3","1","",".225",".318",".330",".648",".292","84","","0.1","-0.6","","-3.4","1.4","0.5","22799"
"Connor Joe","COL","40","174","148","37","8","1","5","22","17","22","37","2","2","1","",".248",".351",".406",".756",".335","102","","-0.2","0.8","","0.3","-1.8","0.5","16572"
"Darin Ruf","SFG","30","128","111","27","5","0","4","15","15","15","34","1","1","0","",".240",".334",".414",".748",".329","115","","-0.2","0.0","","2.0","-1.9","0.5","9929"
"Austin Hedges","CLE","33","126","114","23","4","0","4","12","13","8","34","2","1","0","",".198",".256",".343",".599",".264","69","","-0.2","0.4","","-4.7","2.7","0.5","12976"
"Alex Kirilloff","MIN","39","161","146","37","7","0","6","18","20","11","35","2","1","0","",".256",".315",".433",".747",".325","112","","-0.3","-0.4","","1.8","-2.5","0.5","20325"
"Bryson Stott","PHI","27","108","96","23","5","0","3","12","12","10","22","1","2","1","",".243",".315",".393",".708",".311","98","","0.0","0.2","","-0.3","0.9","0.4","26294"
"Nick Castellanos","PHI","56","244","224","57","14","0","9","28","32","16","56","2","2","1","",".256",".309",".436",".745",".323","106","","-0.4","-2.6","","1.3","-5.5","0.4","11737"
"Chris Taylor","LAD","43","176","155","35","8","1","4","19","19","18","54","2","3","1","",".228",".311",".378",".689",".303","97","","0.3","0.2","","-0.3","-1.5","0.4","13757"
"Gary Sánchez","MIN","42","169","149","31","7","0","8","19","21","16","47","2","1","0","",".207",".292",".407",".699",".305","98","","-0.5","-0.9","","-0.9","-0.4","0.4","11442"
"Marcell Ozuna","ATL","50","210","189","47","8","0","9","24","27","18","47","1","1","1","",".249",".315",".432",".747",".325","106","","-0.2","-0.4","","1.3","-4.4","0.4","10324"
"Yadier Molina","STL","23","95","88","22","4","0","2","9","10","4","15","1","1","0","",".247",".287",".363",".650",".285","86","","-0.6","0.7","","-2.2","2.3","0.4","7007"
"Kyle Lewis","SEA","31","132","116","28","5","0","5","15","17","13","34","1","1","0","",".237",".319",".420",".738",".323","115","","-0.1","0.1","","2.2","-2.2","0.4","19508"
"Yuli Gurriel","HOU","51","218","198","52","12","0","5","25","24","16","27","2","2","1","",".263",".321",".402",".723",".317","108","","-0.4","-0.8","","1.6","-4.5","0.4","19198"
"Joey Votto","CIN","54","233","199","46","9","1","9","27","29","29","58","3","0","0","",".231",".335",".413",".748",".329","106","","-1.3","-0.2","","0.4","-4.4","0.4","4314"
"Austin Meadows","DET","26","116","103","25","5","1","4","14","14","11","22","1","1","0","",".248",".324",".440",".764",".332","116","","-0.3","-0.1","","1.8","-1.5","0.4","15672"
"Kyle Higashioka","NYY","20","77","70","15","3","0","3","9","10","5","19","1","0","0","",".214",".272",".399",".670",".292","89","","-0.1","-0.1","","-1.1","1.2","0.4","5517"
"Rafael Ortega","CHC","40","177","155","37","8","1","4","21","16","18","37","1","6","2","",".240",".322",".378",".700",".310","97","","-0.1","-0.2","","-0.6","-1.4","0.4","10323"
"Josh Harrison","CHW","35","142","129","32","7","1","3","15","14","8","22","3","2","1","",".250",".308",".372",".680",".300","95","","-0.2","0.1","","-1.0","0.4","0.4","8202"
"Jonah Bride","OAK","23","96","84","20","4","0","2","10","9","10","18","2","0","0","",".243",".331",".373",".704",".314","108","","-0.1","0.0","","0.7","0.0","0.4","24703"
"William Contreras","ATL","30","119","106","26","5","0","5","14","15","10","29","1","1","0","",".246",".317",".441",".758",".330","109","","-0.2","-0.2","","1.1","0.3","0.4","20503"
"Cavan Biggio","TOR","37","147","123","27","6","0","4","18","15","21","37","1","2","1","",".221",".339",".373",".712",".318","103","","-0.1","-0.2","","0.4","-1.3","0.4","19252"
"Victor Caratini","MIL","20","78","68","17","3","0","2","9","9","8","17","1","0","0","",".242",".327",".392",".719",".316","101","","-0.2","0.0","","0.0","1.1","0.4","14968"
"Orlando Arcia","ATL","32","125","112","28","5","0","4","14","14","10","24","1","1","0","",".249",".311",".397",".708",".310","96","","0.0","0.3","","-0.5","0.0","0.4","13185"
"Taylor Walls","TBR","34","134","116","24","6","1","2","13","12","15","35","1","3","1","",".209",".300",".335",".634",".284","89","","0.0","0.3","","-1.7","1.2","0.4","22458"
"Lane Thomas","WSN","40","169","150","35","8","1","5","19","18","15","42","1","2","1","",".230",".303",".397",".700",".307","95","","-0.1","-0.1","","-1.2","-0.9","0.4","16939"
"James McCann","NYM","29","113","102","23","4","0","3","11","11","7","30","2","1","0","",".224",".284",".350",".634",".280","85","","-0.2","0.3","","-2.2","2.2","0.4","12859"
"Eric Hosmer","SDP","44","187","168","45","8","0","5","20","22","15","33","1","1","0","",".265",".328",".408",".736",".320","109","","-0.7","-0.8","","1.4","-4.1","0.4","3516"
"Vimael Machín","OAK","24","103","90","22","4","1","2","11","8","10","17","1","0","0","",".244",".326",".358",".684",".305","101","","-0.1","0.1","","0.1","0.3","0.4","17684"
